campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,campaign_duration,revenue_efficiency
Campaign_0,2022-01-01,2022-04-01,20795,1.0772345640553724,Conversion,Professionals,Social Media,0.2248370204894617,99179,90,4.7693676364510695
Campaign_1,2022-01-02,2022-04-02,5860,1.1025636650650292,Retention,Students,Social Media,0.17445763147018,46764,90,7.980204778156996
Campaign_2,2022-01-03,2022-04-03,43158,2.2081587970636454,Retention,Seniors,Search,0.9332382427296694,80543,90,1.866235692108068
Campaign_3,2022-01-04,2022-04-04,49732,2.024991644456552,Awareness,Professionals,Social Media,0.4956377377947534,51714,90,1.0398536153784284
Campaign_4,2022-01-05,2022-04-05,16284,2.582987279340411,Retention,Students,Email,0.25517942434058444,62835,90,3.858695652173913
Campaign_5,2022-01-06,2022-04-06,11265,0.9334116337694303,Awareness,Young Adults,Email,0.9464784777724489,79744,90,7.078916999556148
Campaign_6,2022-01-07,2022-04-07,21850,1.477651518933102,Retention,Professionals,Display,0.9174941902114659,62491,90,2.86
Campaign_7,2022-01-08,2022-04-08,42194,0.9555902194701558,Conversion,Seniors,TV,0.5347958463906717,24589,90,0.5827605820732805
Campaign_8,2022-01-09,2022-04-09,26962,2.388403525794131,Retention,Young Adults,Social Media,0.8396781625979792,49484,90,1.8353237890364216
Campaign_9,2022-01-10,2022-04-10,49131,1.5628896862281119,Awareness,Young Adults,Social Media,0.18738468184089663,88989,90,1.811259693472553
Campaign_10,2022-01-11,2022-04-11,21023,1.019854157170472,Awareness,Young Adults,Search,0.27213907143665095,42212,90,2.0078961137801454
Campaign_11,2022-01-12,2022-04-12,46090,1.9192508195499787,Conversion,Professionals,Email,0.668336360174405,49525,90,1.0745280972011282
Campaign_12,2022-01-13,2022-04-13,6685,0.5782832311388965,Retention,Seniors,TV,0.8058614737040075,53202,90,7.958414360508601
Campaign_13,2022-01-14,2022-04-14,5769,2.6057119364874963,Retention,Young Adults,Display,0.8149448343654069,38635,90,6.697001213381869
Campaign_14,2022-01-15,2022-04-15,7433,1.624385333424414,Conversion,Students,Email,0.3902376394948587,69208,90,9.31091080317503
Campaign_15,2022-01-16,2022-04-16,10311,1.4878755900045362,Retention,Young Adults,Display,0.8445038928353021,39828,90,3.8626709339540297
Campaign_16,2022-01-17,2022-04-17,42819,2.8166471644844853,Retention,Young Adults,Search,0.809872741841462,24711,90,0.5771036222237792
Campaign_17,2022-01-18,2022-04-18,44188,2.3181799896410524,Awareness,Professionals,Search,0.8894968945676907,9420,90,0.21318004888204942
Campaign_18,2022-01-19,2022-04-19,22568,1.3163519220145885,Retention,Professionals,Social Media,0.748220212047107,6301,90,0.27920063807160583
Campaign_19,2022-01-20,2022-04-20,24769,1.9261099360134986,Retention,Seniors,TV,0.6388489594313749,51236,90,2.068553433727643
Campaign_20,2022-01-21,2022-04-21,33693,1.8020856500645592,Conversion,Students,Display,0.5558454241502674,72235,90,2.1439171341228147
Campaign_21,2022-01-22,2022-04-22,11396,2.9029300608733726,Conversion,Professionals,Email,0.3599458005680385,60240,90,5.286065286065286
Campaign_22,2022-01-23,2022-04-23,32480,2.6113346216953786,Awareness,Young Adults,Search,0.8937254359103116,71726,90,2.2083128078817733
Campaign_23,2022-01-24,2022-04-24,46434,2.368300275343452,Retention,Seniors,Social Media,0.9252440065499983,16492,90,0.3551707800318732
Campaign_24,2022-01-25,2022-04-25,30658,1.8492303309726994,Retention,Young Adults,Social Media,0.27688571625321773,12102,90,0.39474199230217233
Campaign_25,2022-01-26,2022-04-26,23942,1.9668779141596207,Retention,Young Adults,Display,0.2970420287237298,56336,90,2.3530197978447918
Campaign_26,2022-01-27,2022-04-27,23431,2.913138268160345,Awareness,Professionals,Search,0.466476928371053,91314,90,3.89714480816013
Campaign_27,2022-01-28,2022-04-28,7747,2.0175856192167116,Awareness,Seniors,TV,0.43151869440707247,32641,90,4.2133729185491156
Campaign_28,2022-01-29,2022-04-29,5189,1.1899979550563584,Conversion,Students,Search,0.9447900148541714,40584,90,7.821160146463673
Campaign_29,2022-01-30,2022-04-30,24118,1.240683764260206,Awareness,Students,Display,0.17536973751670465,38745,90,1.6064764905879425
Campaign_30,2022-01-31,2022-05-01,40773,0.9131673476575062,Retention,Professionals,Display,0.026990841798589613,29093,90,0.7135359183773575
Campaign_31,2022-02-01,2022-05-02,6899,0.5390910168529848,Retention,Professionals,Search,0.4742600922724285,72105,90,10.451514712277142
Campaign_32,2022-02-02,2022-05-03,6267,1.558503701765924,Awareness,Seniors,Display,0.17809334666804907,57885,90,9.236476783149833
Campaign_33,2022-02-03,2022-05-04,36551,1.4872037954389243,Retention,Students,Search,0.3544806575078883,42631,90,1.1663429181144154
Campaign_34,2022-02-04,2022-05-05,16394,1.2337204367950954,Retention,Students,Email,0.7095202916731685,78991,90,4.8182871782359395
Campaign_35,2022-02-05,2022-05-06,8556,0.5351995567877111,Awareness,Students,Search,0.6876835287970015,10014,90,1.170406732117812
Campaign_36,2022-02-06,2022-05-07,8890,0.9971060102220128,Awareness,Young Adults,Search,0.2995771443412459,17093,90,1.9227221597300337
Campaign_37,2022-02-07,2022-05-08,46606,2.278354881871625,Retention,Students,Display,0.5199878167216053,24070,90,0.5164571085267992
Campaign_38,2022-02-08,2022-05-09,35740,2.475438851328014,Retention,Young Adults,Display,0.4882852322284344,41777,90,1.1689143816452154
Campaign_39,2022-02-09,2022-05-10,19502,2.0148999369525287,Retention,Seniors,Social Media,0.6081526610947416,62958,90,3.228284278535535
Campaign_40,2022-02-10,2022-05-11,26777,2.8157521962833725,Conversion,Young Adults,Social Media,0.2454341094892491,88074,90,3.289166075363185
Campaign_41,2022-02-11,2022-05-12,15627,2.127692563754861,Conversion,Seniors,Email,0.5644785967069113,16729,90,1.070518973571383
Campaign_42,2022-02-12,2022-05-13,13792,2.787399188859452,Conversion,Students,Social Media,0.9301592867785085,51017,90,3.699028422273782
Campaign_43,2022-02-13,2022-05-14,48323,2.625096444474498,Awareness,Students,Search,0.4675376237818878,72320,90,1.4965958239347723
Campaign_44,2022-02-14,2022-05-15,48021,1.6236266853455086,Conversion,Seniors,Display,0.8617328604554407,33751,90,0.7028383415589013
Campaign_45,2022-02-15,2022-05-16,13433,0.7385252912260283,Awareness,Professionals,Social Media,0.4183307035798029,84069,90,6.258393508523785
Campaign_46,2022-02-16,2022-05-17,48001,1.427045630495666,Awareness,Seniors,Social Media,0.3390737032329951,60748,90,1.2655569675631757
Campaign_47,2022-02-17,2022-05-18,16016,2.1721031316590182,Conversion,Professionals,Email,0.6163971603087309,11801,90,0.7368256743256744
Campaign_48,2022-02-18,2022-05-19,28897,2.1648058915437414,Conversion,Young Adults,Email,0.6387886160833136,25190,90,0.871716787209745
Campaign_49,2022-02-19,2022-05-20,7612,1.9782444692693177,Conversion,Young Adults,Search,0.8223175111675889,55689,90,7.315948502364687
